product_id,category,buyers,units,item_net_sales,revenue,cost,gross_profit,gross_margin,category_rank
1369,Beauty,107,120,18999.31,19311.37,10848.00,8463.37,0.4383,54
727,Beauty,134,159,18793.69,19291.76,11320.80,7970.96,0.4132,55
1437,Beauty,133,162,18787.10,19213.78,10432.80,8780.98,0.4570,56
687,Beauty,132,149,18445.41,18867.70,11909.57,6958.13,0.3688,57
243,Beauty,139,157,18152.62,18739.42,13038.85,5700.57,0.3042,58
1133,Beauty,107,133,18073.53,18376.83,12529.93,5846.90,0.3182,59
1362,Beauty,108,135,18018.99,18317.37,9250.20,9067.17,0.4950,60
911,Beauty,133,154,17651.58,18197.91,11696.30,6501.61,0.3573,61
174,Beauty,124,149,17785.01,18039.78,13112.00,4927.78,0.2732,62
1460,Beauty,116,136,17653.93,18020.47,8482.32,9538.15,0.5293,63
10,Beauty,111,133,17352.58,17586.08,8114.33,9471.75,0.5386,64
910,Beauty,143,175,16499.87,16975.23,12230.75,4744.48,0.2795,65
1200,Beauty,125,151,16401.68,16757.55,13802.91,2954.64,0.1763,66
1227,Beauty,114,137,16431.35,16756.35,13701.37,3054.98,0.1823,67
933,Beauty,124,141,16159.70,16582.08,13142.61,3439.47,0.2074,68
906,Beauty,126,151,16292.52,16568.34,10225.72,6342.62,0.3828,69
1408,Beauty,136,168,15991.50,16522.38,10308.48,6213.90,0.3761,70
1005,Beauty,124,141,16068.78,16507.88,7980.60,8527.28,0.5166,71
1414,Beauty,125,148,15992.62,16371.92,10934.24,5437.68,0.3321,72
706,Beauty,163,186,15471.34,16169.63,7797.12,8372.51,0.5178,73
950,Beauty,137,162,15425.72,15976.17,10552.68,5423.49,0.3395,74
1165,Beauty,121,143,15554.29,15951.18,10610.60,5340.58,0.3348,75
608,Beauty,134,152,15540.89,15947.63,10418.08,5529.55,0.3467,76
1057,Beauty,109,133,15662.62,15907.16,9889.88,6017.28,0.3783,77
25,Beauty,120,141,15425.54,15884.51,10115.34,5769.17,0.3632,78
505,Beauty,135,175,15336.78,15878.97,9863.00,6015.97,0.3789,79
1134,Beauty,118,132,15512.16,15758.87,11821.92,3936.95,0.2498,80
522,Beauty,130,157,15204.71,15631.06,8884.63,6746.43,0.4316,81
83,Beauty,131,162,15112.04,15589.27,11787.12,3802.15,0.2439,82
988,Beauty,127,139,15102.60,15574.84,9247.67,6327.17,0.4062,83
761,Beauty,140,172,14689.70,15269.85,11577.32,3692.53,0.2418,84
355,Beauty,126,141,14617.31,15052.55,11483.04,3569.51,0.2371,85
1363,Beauty,140,167,14380.73,15048.36,9958.21,5090.15,0.3383,86
1240,Beauty,115,139,14634.39,14974.10,7927.17,7046.93,0.4706,87
1020,Beauty,129,151,14444.06,14935.46,8018.10,6917.36,0.4632,88
447,Beauty,122,141,14418.49,14794.83,7485.69,7309.14,0.4940,89
1067,Beauty,118,146,14358.39,14735.90,11916.52,2819.38,0.1913,90
385,Beauty,111,135,14267.25,14688.48,6961.95,7726.53,0.5260,91
688,Beauty,120,143,14343.30,14677.33,9568.13,5109.20,0.3481,92
798,Beauty,134,167,13950.57,14386.02,9405.44,4980.58,0.3462,93
1120,Beauty,109,125,13733.80,14079.35,7233.75,6845.60,0.4862,94
479,Beauty,126,143,13555.12,14021.32,7523.23,6498.09,0.4634,95
566,Beauty,119,142,13480.23,13927.55,8037.20,5890.35,0.4229,96
281,Beauty,141,177,13335.43,13893.84,10214.67,3679.17,0.2648,97
1186,Beauty,129,163,13427.62,13820.80,10586.85,3233.95,0.2340,98
1487,Beauty,104,127,13357.45,13679.89,10104.12,3575.77,0.2614,99
402,Beauty,115,125,13243.99,13648.95,10007.50,3641.45,0.2668,100
485,Beauty,138,161,13099.40,13510.48,10661.42,2849.06,0.2109,101
166,Beauty,107,121,13008.43,13337.24,9986.13,3351.11,0.2513,102
427,Beauty,134,163,12641.71,13284.81,9132.89,4151.92,0.3125,103
518,Beauty,131,148,12698.48,13237.32,8625.44,4611.88,0.3484,104
299,Beauty,127,141,12733.90,13229.56,6615.72,6613.84,0.4999,105
1356,Beauty,133,150,12701.55,13219.94,6792.00,6427.94,0.4862,106
905,Beauty,105,125,12804.90,13138.55,6187.50,6951.05,0.5291,107
229,Beauty,110,130,12690.14,13044.01,10236.20,2807.81,0.2153,108
862,Beauty,118,133,12487.93,13005.30,10139.92,2865.38,0.2203,109
973,Beauty,123,137,12567.70,12984.96,8548.80,4436.16,0.3416,110
223,Beauty,118,139,12042.11,12574.18,9919.04,2655.14,0.2112,111
138,Beauty,145,179,11988.60,12538.94,8964.32,3574.62,0.2851,112
642,Beauty,132,156,11833.50,12239.41,9395.88,2843.53,0.2323,113
234,Beauty,128,156,11674.76,12130.71,9383.40,2747.31,0.2265,114
39,Beauty,150,184,11503.39,12076.68,8530.24,3546.44,0.2937,115
1161,Beauty,130,152,11630.81,12070.68,6753.36,5317.32,0.4405,116
495,Beauty,115,135,11653.09,12066.64,6193.80,5872.84,0.4867,117
866,Beauty,115,141,11350.14,11991.63,5511.69,6479.94,0.5404,118
1373,Beauty,140,165,11369.09,11952.96,6415.20,5537.76,0.4633,119
261,Beauty,133,169,11352.59,11922.38,5536.44,6385.94,0.5356,120
205,Beauty,106,126,11393.78,11790.56,7750.26,4040.30,0.3427,121
1253,Beauty,122,146,11202.62,11789.07,5204.90,6584.17,0.5585,122
46,Beauty,119,146,11254.11,11673.92,7627.04,4046.88,0.3467,123
936,Beauty,123,149,11217.42,11653.33,6235.65,5417.68,0.4649,124
817,Beauty,133,163,10947.59,11512.03,7193.19,4318.84,0.3752,125
75,Beauty,122,137,10990.67,11407.28,8957.06,2450.22,0.2148,126
410,Beauty,125,139,10696.14,11219.83,8116.21,3103.62,0.2766,127
97,Beauty,129,148,10665.62,11118.16,5002.40,6115.76,0.5501,128
1032,Beauty,128,147,10386.56,10861.89,6100.50,4761.39,0.4384,129
1385,Beauty,136,160,10363.09,10811.82,8265.60,2546.22,0.2355,130
1270,Beauty,116,138,10378.95,10807.68,6058.20,4749.48,0.4395,131
1320,Beauty,130,155,10210.69,10676.87,5307.20,5369.67,0.5029,132
847,Beauty,140,167,9972.64,10526.18,7553.41,2972.77,0.2824,133
1471,Beauty,112,138,10096.05,10439.45,5063.22,5376.23,0.5150,134
890,Beauty,124,157,9955.10,10326.51,7289.51,3037.00,0.2941,135
961,Beauty,144,165,9481.35,10132.32,4534.20,5598.12,0.5525,136
74,Beauty,122,145,9575.70,10107.55,5208.40,4899.15,0.4847,137
1027,Beauty,111,138,9613.43,10066.52,7739.04,2327.48,0.2312,138
1311,Beauty,122,141,9537.43,10058.58,6739.80,3318.78,0.3299,139
318,Beauty,126,142,9502.13,10009.58,6665.48,3344.10,0.3341,140
760,Beauty,134,152,9427.24,9879.86,5111.76,4768.10,0.4826,141
406,Beauty,132,157,9343.00,9806.90,5862.38,3944.52,0.4022,142
19,Beauty,140,162,9002.77,9605.14,6168.96,3436.18,0.3577,143
292,Beauty,130,168,9193.48,9597.70,5302.08,4295.62,0.4476,144
547,Beauty,125,140,8937.17,9455.67,7448.00,2007.67,0.2123,145
1145,Beauty,110,129,8958.52,9400.02,6820.23,2579.79,0.2744,146
1294,Beauty,114,137,9014.70,9379.40,6175.96,3203.44,0.3415,147
1364,Beauty,113,132,8921.18,9317.03,5107.08,4209.95,0.4519,148
1402,Beauty,113,128,8708.01,9152.96,5017.60,4135.36,0.4518,149
1286,Beauty,131,155,8598.28,9109.24,4288.85,4820.39,0.5292,150
576,Beauty,119,128,8643.28,9034.50,6707.20,2327.30,0.2576,151
980,Beauty,124,142,8105.93,8564.96,4991.30,3573.66,0.4172,152
1500,Beauty,133,158,8036.29,8550.52,4754.22,3796.30,0.4440,153
164,Beauty,105,120,8125.42,8491.20,5226.00,3265.20,0.3845,154
1481,Beauty,122,147,7912.00,8489.39,5397.84,3091.55,0.3642,155
1499,Beauty,117,139,7858.14,8344.46,5229.18,3115.28,0.3733,156
455,Beauty,132,155,7656.87,8186.65,4047.05,4139.60,0.5057,157
247,Beauty,138,162,7662.34,8120.02,5914.62,2205.40,0.2716,158
373,Beauty,130,152,7601.71,8110.82,4936.96,3173.86,0.3913,159
310,Beauty,124,145,7603.86,8102.40,5140.25,2962.15,0.3656,160
1469,Beauty,106,117,7723.08,8093.97,5036.85,3057.12,0.3777,161
1446,Beauty,129,148,7428.95,8031.10,4408.92,3622.18,0.4510,162
69,Beauty,116,140,7601.44,8022.71,4698.40,3324.31,0.4144,163
444,Beauty,119,136,7521.91,8008.74,4218.72,3790.02,0.4732,164
273,Beauty,108,131,7506.09,7980.21,6101.98,1878.23,0.2354,165
1152,Beauty,134,160,7459.20,7864.51,3742.40,4122.11,0.5241,166
540,Beauty,107,122,7107.37,7540.17,5763.28,1776.89,0.2357,167
631,Beauty,115,138,7169.39,7536.75,5307.48,2229.27,0.2958,168
787,Beauty,104,132,6801.41,7253.32,4312.44,2940.88,0.4055,169
824,Beauty,114,133,6777.90,7221.63,4878.44,2343.19,0.3245,170
805,Beauty,125,145,6821.71,7202.45,3665.60,3536.85,0.4911,171
525,Beauty,129,148,6630.40,7148.32,3136.12,4012.20,0.5613,172
1409,Beauty,123,145,6622.18,7123.60,4351.45,2772.15,0.3892,173
1201,Beauty,119,137,6453.02,7027.45,3460.62,3566.83,0.5076,174
1291,Beauty,128,151,6453.61,6911.70,3183.08,3728.62,0.5395,175
605,Beauty,117,131,6419.97,6869.57,3581.54,3288.03,0.4786,176
758,Beauty,133,154,6117.38,6718.87,3163.16,3555.71,0.5292,177
189,Beauty,118,144,6139.12,6626.92,4597.92,2029.00,0.3062,178
1138,Beauty,116,129,6119.54,6530.22,4773.00,1757.22,0.2691,179
1156,Beauty,119,144,6026.59,6525.30,3324.96,3200.34,0.4905,180
935,Beauty,126,156,5983.58,6511.56,3425.76,3085.80,0.4739,181
1355,Beauty,128,145,5980.05,6446.40,3799.00,2647.40,0.4107,182
603,Beauty,92,117,5790.66,6207.58,4587.57,1620.01,0.2610,183
991,Beauty,113,135,5606.45,6041.09,2712.15,3328.94,0.5511,184
1111,Beauty,118,142,5384.78,5917.85,3737.44,2180.41,0.3684,185
1254,Beauty,131,152,5360.75,5835.91,3606.96,2228.95,0.3819,186
469,Beauty,117,135,5215.28,5676.66,3329.10,2347.56,0.4135,187
737,Beauty,121,146,5067.82,5627.23,4301.16,1326.07,0.2357,188
1405,Beauty,118,138,5038.55,5444.61,2637.18,2807.43,0.5156,189
1440,Beauty,126,143,4876.36,5278.57,3812.38,1466.19,0.2778,190
546,Beauty,130,148,4680.93,5129.51,2357.64,2771.87,0.5404,191
1169,Beauty,123,131,4611.43,5038.16,2318.70,2719.46,0.5398,192
414,Beauty,141,166,4414.59,4919.56,3334.94,1584.62,0.3221,193
435,Beauty,130,147,4240.97,4699.09,2259.39,2439.70,0.5192,194
399,Beauty,123,139,4202.08,4685.43,3470.83,1214.60,0.2592,195
421,Beauty,134,155,4205.34,4637.66,2551.30,2086.36,0.4499,196
811,Beauty,138,156,3671.52,4247.47,3134.04,1113.43,0.2621,197
600,Beauty,136,156,2795.96,3344.26,1648.92,1695.34,0.5069,198
119,Beauty,131,148,2689.70,3064.78,1586.56,1478.22,0.4823,199
486,Books,118,133,30043.06,29986.50,14927.92,15058.58,0.5022,1
1308,Books,124,154,26365.50,26711.52,13210.12,13501.40,0.5055,2
675,Books,145,165,24964.19,25369.11,15976.95,9392.16,0.3702,3
1199,Books,97,118,23997.29,24054.09,19197.42,4856.67,0.2019,4
257,Books,127,149,21951.86,22312.31,15019.20,7293.11,0.3269,5
20,Books,139,166,21728.37,22163.21,10645.58,11517.63,0.5197,6
1493,Books,134,165,21172.03,21547.91,10413.15,11134.76,0.5167,7
1088,Books,146,177,19479.16,19903.44,14492.76,5410.68,0.2718,8
900,Books,121,150,18201.50,18529.28,14620.50,3908.78,0.2110,9
684,Books,134,159,17612.10,18003.72,11597.46,6406.26,0.3558,10
941,Books,120,142,16500.20,16872.71,7692.14,9180.57,0.5441,11
726,Books,143,169,16507.00,16871.08,9991.28,6879.80,0.4078,12
721,Books,116,134,16293.62,16695.46,7684.90,9010.56,0.5397,13
262,Books,124,145,15714.82,16121.37,8441.90,7679.47,0.4764,14
1060,Books,129,159,15359.15,15624.61,8829.27,6795.34,0.4349,15
1210,Books,105,129,14287.08,14627.23,7012.44,7614.79,0.5206,16
558,Books,125,154,14193.69,14619.30,7261.10,7358.20,0.5033,17
230,Books,122,139,13820.54,14309.53,6470.45,7839.08,0.5478,18
1040,Books,116,135,13641.39,14078.32,8833.05,5245.27,0.3726,19
985,Books,134,162,13434.63,14025.72,9361.98,4663.74,0.3325,20
1046,Books,130,159,13391.19,13861.40,8993.04,4868.36,0.3512,21
246,Books,136,159,13225.40,13755.28,6975.33,6779.95,0.4929,22
463,Books,124,145,13156.17,13592.90,7716.90,5876.00,0.4323,23
487,Books,111,120,12955.52,13361.69,10214.40,3147.29,0.2355,24
676,Books,106,132,12930.54,13277.97,6519.48,6758.49,0.5090,25
1436,Books,138,167,12581.11,13086.11,6466.24,6619.87,0.5059,26
1393,Books,125,151,12517.16,13036.31,6447.70,6588.61,0.5054,27
622,Books,124,149,12453.83,12896.65,8364.86,4531.79,0.3514,28
1070,Books,138,155,12290.33,12861.98,7165.65,5696.33,0.4429,29
330,Books,150,173,12208.02,12808.27,6492.69,6315.58,0.4931,30
437,Books,131,149,12281.85,12718.49,7390.40,5328.09,0.4189,31
183,Books,145,180,11942.29,12549.93,8508.60,4041.33,0.3220,32
333,Books,134,160,11886.86,12395.36,8945.60,3449.76,0.2783,33
1158,Books,135,158,11799.24,12309.95,7138.44,5171.51,0.4201,34
1319,Books,131,155,11824.99,12249.23,9529.40,2719.83,0.2220,35
915,Books,130,152,11620.15,12163.79,8606.24,3557.55,0.2925,36
392,Books,139,170,11234.34,11878.56,5951.70,5926.86,0.4990,37
610,Books,130,158,11287.25,11695.96,6323.16,5372.80,0.4594,38
177,Books,121,137,11168.42,11674.54,7022.62,4651.92,0.3985,39
395,Books,110,138,11143.15,11495.22,7072.50,4422.72,0.3847,40
604,Books,127,155,10931.28,11454.42,7388.85,4065.57,0.3549,41
123,Books,142,171,10517.42,11145.46,8529.48,2615.98,0.2347,42
514,Books,133,154,10496.69,11029.31,7713.86,3315.45,0.3006,43
733,Books,138,169,10289.47,10848.16,7371.78,3476.38,0.3205,44
1338,Books,137,161,10356.40,10792.11,8312.43,2479.68,0.2298,45
788,Books,130,156,10064.06,10617.61,7224.36,3393.25,0.3196,46
1360,Books,139,164,10003.41,10548.10,6863.40,3684.70,0.3493,47
76,Books,125,150,10014.16,10507.97,7126.50,3381.47,0.3218,48
963,Books,121,154,9926.81,10347.94,7197.96,3149.98,0.3044,49
806,Books,140,175,9766.52,10330.05,4597.25,5732.80,0.5550,50
457,Books,142,180,9724.42,10320.11,7961.40,2358.71,0.2286,51
1081,Books,124,160,9716.79,10208.54,5380.80,4827.74,0.4729,52
325,Books,133,159,9648.47,10190.98,6053.13,4137.85,0.4060,53
846,Books,143,166,9549.62,10161.54,7589.52,2572.02,0.2531,54
607,Books,145,170,9479.85,10004.55,5450.20,4554.35,0.4552,55
1126,Books,121,139,9207.49,9737.93,4345.14,5392.79,0.5538,56
94,Books,128,151,9261.35,9684.39,7696.47,1987.92,0.2053,57
606,Books,123,144,8907.03,9473.67,7368.48,2105.19,0.2222,58
1144,Books,127,154,8987.04,9439.20,5288.36,4150.84,0.4397,59
158,Books,161,186,8798.37,9434.71,5282.40,4152.31,0.4401,60
589,Books,118,138,8952.50,9425.47,5584.86,3840.61,0.4075,61
442,Books,121,147,8912.56,9417.72,7048.65,2369.07,0.2516,62
918,Books,132,153,8909.94,9367.33,6386.22,2981.11,0.3182,63
655,Books,122,151,8799.82,9338.65,6412.97,2925.68,0.3133,64
482,Books,129,168,8815.25,9309.79,5713.68,3596.11,0.3863,65
793,Books,124,148,8824.89,9275.33,6538.64,2736.69,0.2951,66
263,Books,127,150,8717.01,9257.06,6987.00,2270.06,0.2452,67
864,Books,122,136,8631.73,9217.04,5452.24,3764.80,0.4085,68
951,Books,128,157,8633.38,9151.55,6060.20,3091.35,0.3378,69
1337,Books,135,169,8649.58,9119.80,6498.05,2621.75,0.2875,70
652,Books,119,140,8699.12,9042.97,5535.60,3507.37,0.3879,71
210,Books,124,148,8596.74,9032.63,4434.08,4598.55,0.5091,72
1476,Books,124,149,8463.38,8933.14,5781.20,3151.94,0.3528,73
1410,Books,128,153,8347.89,8905.51,5731.38,3174.13,0.3564,74
1160,Books,119,132,8470.25,8903.23,7088.40,1814.83,0.2038,75
13,Books,134,157,8198.53,8753.49,5058.54,3694.95,0.4221,76
335,Books,120,144,8100.09,8581.68,5585.76,2995.92,0.3491,77
278,Books,141,165,7933.54,8377.36,5360.85,3016.51,0.3601,78
705,Books,118,154,7872.03,8293.90,5985.98,2307.92,0.2783,79
1170,Books,129,149,7675.82,8133.24,6252.04,1881.20,0.2313,80
1282,Books,138,172,7483.26,8110.51,5629.56,2480.95,0.3059,81
1048,Books,133,171,7505.58,8055.98,4697.37,3358.61,0.4169,82
1398,Books,122,151,7422.44,8042.16,4182.70,3859.46,0.4799,83
1306,Books,133,162,7531.44,8035.73,4617.00,3418.73,0.4254,84
371,Books,128,161,7484.45,8006.11,4137.70,3868.41,0.4832,85
348,Books,127,155,7566.33,7988.44,6127.15,1861.29,0.2330,86
391,Books,111,123,7440.26,7909.53,6177.06,1732.47,0.2190,87
452,Books,118,137,7358.70,7831.71,5233.40,2598.31,0.3318,88
1105,Books,132,158,7268.57,7798.34,4785.82,3012.52,0.3863,89
1072,Books,105,116,7304.29,7706.81,5145.76,2561.05,0.3323,90
987,Books,113,140,7291.46,7665.51,5353.60,2311.91,0.3016,91
239,Books,118,133,7106.54,7624.84,5608.61,2016.23,0.2644,92
298,Books,135,163,7087.38,7594.33,3656.09,3938.24,0.5186,93
171,Books,119,147,7190.45,7590.42,3933.72,3656.70,0.4818,94
875,Books,129,154,7041.81,7554.51,5212.90,2341.61,0.3100,95
767,Books,143,177,6872.69,7444.70,4465.71,2978.99,0.4001,96
49,Books,144,182,6937.18,7427.82,5745.74,1682.08,0.2265,97
1328,Books,131,166,6950.18,7389.81,5209.08,2180.73,0.2951,98
1275,Books,135,163,6806.36,7378.99,4798.72,2580.27,0.3497,99
1281,Books,121,145,6876.25,7343.66,5607.15,1736.51,0.2365,100
672,Books,131,153,6733.38,7254.25,3249.72,4004.53,0.5520,101
863,Books,129,156,6766.57,7180.01,5038.80,2141.21,0.2982,102
567,Books,115,135,6624.02,7155.46,4955.85,2199.61,0.3074,103
1238,Books,126,152,6722.87,7115.05,3502.08,3612.97,0.5078,104
877,Books,124,143,6604.18,7055.97,5265.26,1790.71,0.2538,105
358,Books,126,146,6559.85,7015.22,4337.66,2677.56,0.3817,106
417,Books,103,124,6450.84,6917.75,3442.24,3475.51,0.5024,107
112,Books,121,147,6444.65,6912.02,4379.13,2532.89,0.3664,108
1478,Books,130,150,6341.66,6889.35,3424.50,3464.85,0.5029,109
1095,Books,114,138,6406.69,6839.34,3455.52,3383.82,0.4948,110
433,Books,118,139,6374.44,6761.22,3912.85,2848.37,0.4213,111
137,Books,139,168,6066.94,6654.87,3217.20,3437.67,0.5166,112
382,Books,127,150,6123.10,6625.54,3999.00,2626.54,0.3964,113
1433,Books,138,163,6071.48,6558.89,4418.93,2139.96,0.3263,114
1050,Books,111,137,6084.93,6555.47,4425.10,2130.37,0.3250,115
1350,Books,122,141,6073.57,6523.60,5001.27,1522.33,0.2334,116
1235,Books,140,170,5974.97,6522.83,2949.50,3573.33,0.5478,117
1184,Books,122,148,5988.67,6426.32,4712.32,1714.00,0.2667,118
1297,Books,124,139,5994.41,6388.03,3793.31,2594.72,0.4062,119
1059,Books,125,147,5858.51,6349.95,3223.71,3126.24,0.4923,120
749,Books,123,151,5896.74,6322.48,2953.56,3368.92,0.5328,121
1261,Books,105,131,5761.20,6118.24,3147.93,2970.31,0.4855,122
1257,Books,132,151,5513.65,5993.58,3377.87,2615.71,0.4364,123
667,Books,125,151,5482.87,5967.64,4611.54,1356.10,0.2272,124
820,Books,107,127,5406.50,5807.80,4432.30,1375.50,0.2368,125
786,Books,138,155,5179.97,5807.38,2980.65,2826.73,0.4867,126
1,Books,109,129,5370.34,5766.08,3126.96,2639.12,0.4577,127
1097,Books,134,173,5231.81,5752.04,4011.87,1740.17,0.3025,128
125,Books,118,146,5251.53,5750.45,2860.14,2890.31,0.5026,129
1411,Books,122,151,5299.26,5745.98,3300.86,2445.12,0.4255,130
825,Books,115,134,5333.89,5742.16,3048.50,2693.66,0.4691,131
462,Books,134,162,5326.96,5733.68,3055.32,2678.36,0.4671,132
1341,Books,113,134,5227.70,5688.64,2980.16,2708.48,0.4761,133
774,Books,136,166,5139.64,5675.51,3647.02,2028.49,0.3574,134
432,Books,114,134,5285.41,5666.32,4093.70,1572.62,0.2775,135
719,Books,117,131,4866.41,5428.08,3271.07,2157.01,0.3974,136
838,Books,122,154,4991.74,5416.70,3611.30,1805.40,0.3333,137
1354,Books,123,142,4851.67,5367.20,2974.90,2392.30,0.4457,138
203,Books,117,134,4933.26,5341.73,2358.40,2983.33,0.5585,139
204,Books,116,135,4839.91,5295.45,3717.90,1577.55,0.2979,140
942,Books,120,142,4839.95,5294.38,3890.80,1403.58,0.2651,141
872,Books,122,140,4814.40,5225.30,2986.20,2239.10,0.4285,142
1094,Books,114,134,4613.46,5193.83,2346.34,2847.49,0.5482,143
1288,Books,130,153,4589.95,5135.28,2466.36,2668.92,0.5197,144
1251,Books,134,155,4622.31,5119.68,2174.65,2945.03,0.5752,145
897,Books,132,158,4429.72,4968.11,2850.32,2117.79,0.4263,146
320,Books,130,164,4424.15,4962.25,3311.16,1651.09,0.3327,147
570,Books,133,161,4371.06,4932.98,3294.06,1638.92,0.3322,148
211,Books,125,147,4410.29,4906.93,3545.64,1361.29,0.2774,149
368,Books,105,124,4539.20,4841.09,3757.20,1083.89,0.2239,150
367,Books,104,121,4458.94,4829.78,2363.13,2466.65,0.5107,151
845,Books,118,139,4375.32,4810.40,3070.51,1739.89,0.3617,152
276,Books,114,129,4323.08,4793.02,2939.91,1853.11,0.3866,153
529,Books,128,156,4322.40,4792.47,3597.36,1195.11,0.2494,154
626,Books,144,179,4226.60,4757.28,3304.34,1452.94,0.3054,155
1374,Books,120,150,4252.03,4733.78,2517.00,2216.78,0.4683,156
336,Books,131,157,4182.65,4644.32,2311.04,2333.28,0.5024,157
268,Books,130,154,4134.00,4626.75,2885.96,1740.79,0.3762,158
99,Books,110,130,4182.46,4570.14,2756.00,1814.14,0.3970,159
643,Books,105,125,3989.64,4500.61,2365.00,2135.61,0.4745,160
1180,Books,138,165,4045.09,4474.39,2343.00,2131.39,0.4764,161
868,Books,135,162,3976.90,4411.33,2384.64,2026.69,0.4594,162
1132,Books,117,136,3915.27,4408.19,3272.16,1136.03,0.2577,163
908,Books,121,143,3894.14,4389.24,2864.29,1524.95,0.3474,164
881,Books,121,142,3789.01,4369.80,1904.22,2465.58,0.5642,165
1278,Books,115,129,3930.30,4347.44,2363.28,1984.16,0.4564,166
1237,Books,137,155,3887.04,4338.79,2046.00,2292.79,0.5284,167
1429,Books,110,127,3935.65,4290.88,2644.14,1646.74,0.3838,168
1242,Books,129,147,3730.41,4270.85,2907.66,1363.19,0.3192,169
1049,Books,119,133,3796.01,4269.45,2683.94,1585.51,0.3714,170
914,Books,131,153,3695.29,4266.18,2083.86,2182.32,0.5115,171
674,Books,134,167,3721.74,4219.60,2984.29,1235.31,0.2928,172
