metric_date,paid_orders,paying_users,revenue,aov
2025-05-16,254,252,84959.37,334.49
2025-05-17,222,218,84836.88,382.15
2025-05-18,229,223,75349.18,329.04
2025-05-19,243,239,91601.42,376.96
2025-05-20,241,240,97619.69,405.06
2025-05-21,247,244,79663.47,322.52
2025-05-22,234,233,91465.61,390.88
2025-05-23,269,265,107672.01,400.27
2025-05-24,222,221,101211.89,455.91
2025-05-25,223,221,74930.90,336.01
2025-05-26,256,250,107132.78,418.49
2025-05-27,253,245,105844.30,418.36
2025-05-28,279,272,118214.52,423.71
2025-05-29,254,252,97548.12,384.05
2025-05-30,240,238,108196.74,450.82
2025-05-31,267,262,98905.37,370.43
2025-06-01,244,242,99913.07,409.48
2025-06-02,288,284,115647.71,401.55
2025-06-03,302,298,129711.28,429.51
2025-06-04,301,298,115594.88,384.04
2025-06-05,266,261,107116.24,402.69
2025-06-06,263,259,103712.71,394.34
2025-06-07,273,266,102119.82,374.07
2025-06-08,248,243,91089.23,367.30
2025-06-09,248,245,97276.07,392.24
2025-06-10,277,274,108387.41,391.29
2025-06-11,250,244,95707.91,382.83
2025-06-12,306,302,131023.70,428.18
2025-06-13,275,272,101629.01,369.56
2025-06-14,290,288,117188.40,404.10
2025-06-15,281,277,99207.93,353.05
2025-06-16,296,294,123195.17,416.20
2025-06-17,290,283,116877.73,403.03
2025-06-18,291,286,102409.17,351.92
2025-06-19,297,295,116257.51,391.44
2025-06-20,290,287,115508.19,398.30
2025-06-21,337,333,129554.50,384.43
2025-06-22,286,276,115567.81,404.08
2025-06-23,334,331,130381.45,390.36
2025-06-24,304,295,116386.47,382.85
2025-06-25,300,297,116760.33,389.20
2025-06-26,308,305,118603.11,385.08
2025-06-27,336,329,142297.09,423.50
2025-06-28,334,322,136004.60,407.20
2025-06-29,332,326,125954.51,379.38
2025-06-30,345,340,120344.83,348.83
2025-07-01,340,335,124543.35,366.30
2025-07-02,325,318,120659.58,371.26
2025-07-03,339,335,137270.53,404.93
2025-07-04,323,318,134115.66,415.22
2025-07-05,341,337,134144.02,393.38
2025-07-06,346,340,152923.99,441.98
2025-07-07,356,352,143694.37,403.64
2025-07-08,346,339,135961.34,392.95
2025-07-09,375,366,150920.62,402.45
2025-07-10,349,345,134028.75,384.04
2025-07-11,349,342,144365.22,413.65
2025-07-12,351,343,124299.49,354.13
2025-07-13,373,366,133714.82,358.48
2025-07-14,352,346,139774.36,397.09
2025-07-15,387,378,151299.44,390.95
2025-07-16,338,331,131650.41,389.50
2025-07-17,376,360,141893.16,377.38
2025-07-18,419,409,164500.14,392.60
2025-07-19,386,380,150760.97,390.57
2025-07-20,377,370,146782.08,389.34
2025-07-21,390,382,164029.56,420.59
2025-07-22,403,387,150863.61,374.35
2025-07-23,376,368,148122.43,393.94
2025-07-24,408,399,179877.06,440.88
2025-07-25,447,429,180073.61,402.85
2025-07-26,409,397,172180.88,420.98
2025-07-27,409,402,173148.06,423.34
2025-07-28,408,399,161715.13,396.36
2025-07-29,404,399,139149.27,344.43
2025-07-30,384,375,145863.96,379.85
2025-07-31,388,378,158849.88,409.41
2025-08-01,444,435,151330.30,340.83
2025-08-02,426,420,168765.87,396.16
2025-08-03,403,394,162208.65,402.50
2025-08-04,472,460,192465.95,407.77
2025-08-05,426,422,177075.67,415.67
2025-08-06,401,389,162607.13,405.50
2025-08-07,429,422,179262.26,417.86
2025-08-08,458,453,198335.54,433.05
2025-08-09,443,435,163394.45,368.84
2025-08-10,450,441,182154.68,404.79
2025-08-11,423,415,197629.65,467.21
2025-08-12,479,473,174644.50,364.60
2025-08-13,485,473,193207.06,398.37
2025-08-14,442,437,177093.87,400.66
2025-08-15,469,461,162110.18,345.65
2025-08-16,460,454,174644.21,379.66
2025-08-17,488,479,199510.89,408.83
2025-08-18,488,475,171126.77,350.67
2025-08-19,461,455,192180.11,416.88
2025-08-20,488,480,202326.37,414.60
2025-08-21,487,478,178665.78,366.87
2025-08-22,497,489,202139.78,406.72
2025-08-23,427,419,182392.62,427.15
2025-08-24,526,516,220573.10,419.34
2025-08-25,533,527,226322.53,424.62
2025-08-26,495,481,189268.07,382.36
2025-08-27,514,497,204024.82,396.94
2025-08-28,493,481,182737.64,370.66
2025-08-29,497,493,200643.51,403.71
2025-08-30,471,459,188779.47,400.81
2025-08-31,492,478,182933.20,371.82
2025-09-01,515,501,191431.45,371.71
2025-09-02,499,489,208405.11,417.65
2025-09-03,515,505,203183.83,394.53
2025-09-04,562,556,203934.16,362.87
2025-09-05,565,552,237256.56,419.92
2025-09-06,541,534,229697.97,424.58
2025-09-07,566,557,237494.38,419.60
2025-09-08,544,529,218481.97,401.62
2025-09-09,556,546,206548.56,371.49
2025-09-10,548,540,231165.95,421.84
2025-09-11,592,580,238737.00,403.27
2025-09-12,527,514,212073.18,402.42
2025-09-13,588,572,245177.16,416.97
2025-09-14,638,623,262086.83,410.79
2025-09-15,557,553,232992.72,418.30
2025-09-16,587,568,220100.69,374.96
2025-09-17,606,593,249852.02,412.30
2025-09-18,613,597,250737.34,409.03
2025-09-19,614,598,253113.47,412.24
2025-09-20,591,579,227516.61,384.97
2025-09-21,603,585,259000.76,429.52
2025-09-22,629,622,246208.69,391.43
2025-09-23,571,559,229727.30,402.32
2025-09-24,633,610,242739.65,383.47
2025-09-25,654,639,274206.43,419.28
2025-09-26,597,584,247140.55,413.97
2025-09-27,623,601,254715.87,408.85
2025-09-28,659,647,257710.26,391.06
2025-09-29,665,648,259358.02,390.01
2025-09-30,635,615,244337.43,384.78
2025-10-01,627,611,244972.70,390.71
2025-10-02,633,618,240793.38,380.40
2025-10-03,640,626,259045.96,404.76
2025-10-04,638,622,245369.65,384.59
2025-10-05,648,632,275604.46,425.32
2025-10-06,666,651,259088.44,389.02
2025-10-07,656,640,268426.81,409.19
2025-10-08,658,645,277381.05,421.55
2025-10-09,675,654,282385.79,418.35
2025-10-10,601,590,238447.56,396.75
2025-10-11,642,627,260854.21,406.31
2025-10-12,625,609,215543.13,344.87
2025-10-13,642,623,254296.43,396.10
2025-10-14,613,594,251404.15,410.12
2025-10-15,629,617,245433.72,390.20
2025-10-16,604,594,237309.71,392.90
2025-10-17,614,600,233584.78,380.43
2025-10-18,624,602,242238.26,388.20
2025-10-19,637,621,247392.84,388.37
2025-10-20,604,586,233421.92,386.46
2025-10-21,635,613,250256.05,394.10
2025-10-22,624,607,232048.20,371.87
2025-10-23,619,603,246116.66,397.60
2025-10-24,633,619,268854.62,424.73
2025-10-25,591,577,249030.92,421.37
2025-10-26,628,615,258361.09,411.40
2025-10-27,624,606,244886.36,392.45
2025-10-28,589,569,247915.47,420.91
2025-10-29,619,604,242736.75,392.14
2025-10-30,590,577,230679.80,390.98
2025-10-31,624,610,242368.29,388.41
2025-11-01,601,582,225436.52,375.10
2025-11-02,589,561,235143.28,399.22
2025-11-03,593,577,237149.30,399.91
2025-11-04,629,610,235873.33,375.00
2025-11-05,551,534,210961.50,382.87
2025-11-06,612,600,249755.36,408.10
2025-11-07,609,592,233636.12,383.64
2025-11-08,628,615,253520.00,403.69
2025-11-09,571,557,221726.37,388.31
2025-11-10,588,570,225925.67,384.23
2025-11-11,585,568,235812.03,403.10
2025-11-12,567,560,244772.10,431.70
2025-11-13,571,558,237992.12,416.80
2025-11-14,591,576,229707.49,388.68
2025-11-15,557,543,224897.03,403.76
2025-11-16,575,564,208351.75,362.35
2025-11-17,562,552,219104.32,389.87
2025-11-18,545,527,229827.35,421.70
2025-11-19,564,553,218501.32,387.41
2025-11-20,587,567,232809.66,396.61
2025-11-21,526,509,219261.88,416.85
2025-11-22,478,468,177448.45,371.23
2025-11-23,543,527,213584.15,393.34
2025-11-24,529,524,225556.96,426.38
2025-11-25,564,553,201938.35,358.05
2025-11-26,522,510,205491.09,393.66
2025-11-27,490,482,182761.32,372.98
2025-11-28,516,504,212078.39,411.00
2025-11-29,469,458,191537.10,408.39
2025-11-30,495,479,180088.35,363.81
2025-12-01,500,478,198660.49,397.32
2025-12-02,498,487,195919.81,393.41
2025-12-03,484,472,193135.05,399.04
2025-12-04,497,489,203880.13,410.22
2025-12-05,501,489,206097.00,411.37
2025-12-06,477,463,187528.65,393.14
2025-12-07,408,396,147383.86,361.23
2025-12-08,454,446,192123.38,423.18
2025-12-09,477,470,192140.70,402.81
2025-12-10,457,445,172350.15,377.13
2025-12-11,460,452,174825.45,380.06
2025-12-12,420,415,177856.26,423.47
2025-12-13,430,417,174861.85,406.66
2025-12-14,407,400,151757.42,372.87
2025-12-15,433,430,179860.30,415.38
2025-12-16,352,346,138998.43,394.88
2025-12-17,406,401,157948.99,389.04
2025-12-18,374,373,157970.85,422.38
2025-12-19,335,330,152320.34,454.69
2025-12-20,335,331,123406.09,368.38
2025-12-21,325,320,121290.21,373.20
2025-12-22,359,354,138097.95,384.67
2025-12-23,333,324,129980.40,390.33
2025-12-24,327,324,148209.61,453.24
2025-12-25,292,289,104780.55,358.84
2025-12-26,271,264,111820.17,412.62
2025-12-27,294,286,113810.99,387.11
2025-12-28,245,243,83220.91,339.68
2025-12-29,216,214,96369.88,446.16
2025-12-30,175,171,54308.13,310.33
2025-12-31,128,128,50995.08,398.40
